,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,46.379150846951774,3.8615512192218935,10.059171597633137,9.580966642011834,0.8356941924589941,0.5739644970414202,0.47088883232593887
topK_30_pos,62.16799569894675,2.203796765680473,5.029585798816568,9.252318545857989,0.6998147382261923,0.42011834319526625,0.6740520470371253
minmax_pos,76.72858034959172,0.8985443195266273,1.4792899408284024,9.699144352071007,0.7878998252958578,0.28994082840236685,0.5732105532528275
topK_5_pos,84.39088747786981,0.6600688579881657,1.183431952662722,7.849484823076923,0.27046981271584075,0.1804733727810651,0.9169072498865414
pos_thresh_50,71.65859423754438,2.249149582840237,4.1420118343195265,8.650702207100592,0.553890840039642,0.3254437869822485,0.783518096275149
topK_50,47.18344303934823,3.9181125737573965,9.171597633136095,9.724497124260354,0.8358977982282249,0.5680473372781065,0.4781320181384312
pos_thresh_25,50.005845608844105,3.853089724433728,10.059171597633137,9.273835252662723,0.7982863858286983,0.5384615384615384,0.6011163137961297
bin,18.591835405540078,8.98992581613491,21.005917159763314,9.733132662721893,0.8753320474260354,0.849112426035503,0.20356648430688215
minmax,74.02255977773433,1.0526211036982247,2.366863905325444,10.039391689349111,0.8035206057189349,0.2958579881656805,0.41295623733726433
topK_5,84.39088747786981,0.6600688579881657,1.183431952662722,7.849484823076923,0.27046981271584075,0.1804733727810651,0.9169072498865414
topK_30,62.16799569894675,2.203796765680473,5.029585798816568,9.252318545857989,0.6998147382261923,0.42011834319526625,0.6740520470371253
sigmoid,53.65249577377693,1.6779816272189347,2.662721893491124,10.374700131656805,0.6194039322660947,0.5532544378698225,0.016757442977471632
sigmoid_pos,53.86862879294971,1.67222825147929,2.662721893491124,10.374764291420119,0.6174551017025444,0.5562130177514792,0.015309057846662784
pos_thresh_75,81.15063301488166,0.9562967278106509,1.4792899408284024,8.07305534704142,0.3345784296603352,0.21005917159763313,0.8796990304695126
