,AD,AG,AI,COMP,FF,FidIn,SPS
saliency,31.04463890952517,0.010742427718500001,27.25,3.0499377500000002,0.8506889841,0.685,0.1574999638075007
gradcam,42.246285458534146,1.049484811175,15.5,6.3672242025,0.6683288332721614,0.6175,0.3282060905074512
lime,49.75744688570474,3.88470667532,11.0,9.4823509475,0.79887592357785,0.525,0.46567939803836905
shap,98.11899880749999,0.0,0.0,9.6823420475,0.851706692175,0.0125,0.4999998851031766
