,AD,AG,AI,COMP,FF,FidIn,SPS
saliency,98.36417794,0.0,0.0,9.679417535,0.9254047212000001,0.02,0.5014373226883491
gradcam,24.363624561398865,2.3120554258695,19.5,4.9184778235,0.7189009579223427,0.7825,0.19550527759903732
lime,8.06701959261118,12.3594018798765,28.75,9.53423199375,0.8991829511214999,0.9325,0.20035051557344413
shap,98.44843202,0.0,0.0,9.704492176250001,0.927022990925,0.015,0.48877850497732694
