,AD,AG,AI,COMP,FF,FidIn,SPS
saliency,98.38055023999999,0.0,0.0,9.171495077499998,0.924342201075,0.015,0.7000060330875456
gradcam,71.267326099644,0.8207025767499999,2.25,9.175541585,0.2733944449039788,0.3525,0.6987772418934793
lime,49.493281060018134,4.87008036275,10.0,9.25167543625,0.6237259668492208,0.5425,0.6741790380808415
shap,98.37669297249998,0.0,0.0,9.171495329999997,0.9203234176500001,0.015,0.7000059551185632
