,AD,AG,AI,COMP,FF,FidIn,SPS
saliency,97.71849264250001,0.17373059999999999,0.25,3.12673676425,0.034040882018027754,0.0175,0.9988182113226444
gradcam,60.36783834173512,1.6102463168824999,4.25,8.5801851235,0.3661319610852965,0.4625,0.5397867224125277
lime,57.98410119013903,1.786661067,3.0,8.7866031125,0.4861529316814775,0.4725,0.748972790873542
shap,97.75346297325,0.19020575,0.25,4.4240304665,0.0593679602995816,0.025,0.9963736889773926
